index,WHALES20_Isol,TPSA(NO),CATS2D_08_AA,Mor04v,E1i,pEC50
0,-0.119,72.56,0,-0.6125,0.5903,7.19
1,-0.062,75.63,0,1.076,0.5819,6.87
2,-0.125,75.63,1,0.8262,0.5796,6.69
3,-0.071,75.63,0,1.223,0.5924,6.55
4,-0.129,75.63,0,1.863,0.6147,5.99
5,-0.172,75.63,0,0.8143,0.6183,5.85
6,-0.207,75.63,0,0.9868,0.6021,5.59
